{'ip': '114.240.6.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.187', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.92', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.38', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.49', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.46', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.195', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.10', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.29', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.128', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.251', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.71', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.173', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.52', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.19', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.73', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.208', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.230', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.206', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.171', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.39', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.179', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.40', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.34', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.162', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.0', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.129', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.106', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.157', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.177', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.26', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.202', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.93', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.20', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.83', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.105', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.190', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.67', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.107', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.1.216', 'other': 'NXDOMAIN', 'type': '3'}
